,mes,infeccoes,populacao,max,media,min,ind_pluv
673,2,0,27404,28,23,20,204.0
674,3,32,27404,27,23,20,154.4
675,4,101,27404,25,21,18,96.1
676,5,38,27404,23,19,16,73.1
677,6,12,27404,22,17,14,68.1
678,7,0,27404,22,17,13,55.7
679,8,0,27404,23,18,14,45.7
680,9,0,27404,23,18,15,90.5
681,10,0,27404,24,20,16,102.5
682,11,1,27404,25,21,18,120.2
683,12,0,27404,27,22,19,169.9
684,1,0,93853,27,22,19,216.0
685,2,0,93853,28,23,19,191.2
686,3,1,93853,27,22,19,141.9
687,4,21,93853,25,20,17,80.8
688,5,10,93853,23,18,14,62.2
689,6,5,93853,22,16,13,51.5
690,7,1,93853,22,16,12,39.4
691,8,3,93853,23,17,13,40.2
692,9,1,93853,24,18,14,103.8
693,10,0,93853,25,20,16,104.9
694,11,0,93853,26,21,17,127.8
695,12,0,93853,27,22,18,183.8
696,1,3,418261,27,22,20,218.4
697,2,4,418261,27,23,20,203.4
698,3,16,418261,26,22,19,156.9
699,4,20,418261,25,21,18,97.7
700,5,29,418261,22,18,15,70.7
701,6,2,418261,21,17,14,61.1
702,7,2,418261,21,16,13,49.4
703,8,5,418261,22,17,14,44.9
704,9,6,418261,23,18,15,96.9
705,10,2,418261,24,19,16,104.9
706,11,0,418261,25,20,18,125.4
707,12,1,418261,26,22,19,177.1
708,1,5,451505,27,22,19,219.0
709,2,2,451505,28,23,19,202.1
710,3,5,451505,27,22,19,156.1
711,4,29,451505,25,21,17,96.3
712,5,40,451505,23,18,14,68.9
713,6,8,451505,22,16,13,57.2
714,7,7,451505,22,16,12,47.0
715,8,1,451505,23,17,13,44.4
716,9,0,451505,24,18,14,99.9
717,10,0,451505,25,20,16,105.9
718,11,0,451505,26,21,17,128.5
719,12,2,451505,27,22,18,181.0
720,1,6,728615,28,23,20,215.8
721,2,9,728615,28,24,20,194.2
722,3,46,728615,27,23,20,144.4
723,4,141,728615,26,21,18,84.1
724,5,115,728615,23,19,15,65.2
725,6,37,728615,22,17,14,57.0
726,7,16,728615,22,17,13,44.2
727,8,18,728615,24,18,14,40.8
728,9,16,728615,24,19,15,94.0
729,10,17,728615,25,20,17,102.6
730,11,13,728615,26,22,18,124.9
731,12,11,728615,27,23,19,178.9
732,1,0,18370,28,23,20,211.1
733,2,0,18370,28,24,20,184.4
734,3,0,18370,28,23,19,133.0
735,4,0,18370,26,21,18,74.4
736,5,0,18370,23,19,15,60.6
737,6,0,18370,22,17,13,53.2
738,7,1,18370,23,17,13,39.8
739,8,0,18370,24,18,13,38.3
740,9,0,18370,25,19,15,92.9
741,10,0,18370,26,21,17,99.9
742,11,0,18370,27,22,18,122.8
743,12,0,18370,27,23,19,178.0
744,1,0,103765,30,25,21,102.0
745,2,1,103765,30,25,21,103.7
746,3,5,103765,29,24,20,84.1
747,4,14,103765,26,21,17,96.8
748,5,19,103765,22,17,13,96.1
749,6,1,103765,20,15,11,123.1
750,7,3,103765,19,14,10,130.5
751,8,2,103765,21,16,11,112.6
752,9,0,103765,22,17,13,137.1
753,10,0,103765,25,20,16,130.5
754,11,0,103765,27,22,18,103.2
755,12,0,103765,29,24,19,93.9
756,1,2,115559,27,22,20,218.9
757,2,0,115559,27,23,20,205.2
758,3,0,115559,26,22,19,159.6
759,4,6,115559,25,21,18,100.6
760,5,4,115559,22,18,16,72.1
761,6,0,115559,21,17,14,62.6
762,7,0,115559,21,16,13,51.1
763,8,1,115559,22,17,14,45.9
764,9,1,115559,22,18,15,97.2
765,10,0,115559,23,19,16,105.2
766,11,0,115559,24,20,18,125.2
767,12,0,115559,26,22,19,176.5
768,1,0,44170,27,22,20,219.1
769,2,0,44170,27,23,20,206.4
770,3,0,44170,26,22,20,161.2
771,4,1,44170,24,21,18,102.4
772,5,0,44170,22,18,16,73.2
773,6,0,44170,21,17,14,63.6
774,7,0,44170,21,17,13,52.2
775,8,0,44170,22,17,14,46.6
776,9,0,44170,22,18,15,97.1
777,10,0,44170,23,19,16,105.6
778,11,0,44170,24,20,18,124.9
779,12,0,44170,26,22,19,175.8
780,1,0,3538,28,23,19,219.0
781,2,0,3538,29,23,20,197.1
782,3,4,3538,28,23,19,150.0
783,4,9,3538,26,21,17,87.8
784,5,21,3538,24,18,15,64.1
785,6,4,3538,23,17,13,51.4
786,7,0,3538,23,17,12,40.9
787,8,1,3538,24,18,13,41.6
788,9,0,3538,25,19,15,105.4
789,10,0,3538,26,21,17,107.1
790,11,0,3538,27,22,18,130.5
791,12,0,3538,28,23,19,185.8
792,1,2,154105,28,23,20,213.6
793,2,5,154105,28,24,20,188.8
794,3,18,154105,27,23,19,137.9
795,4,42,154105,26,21,18,78.1
796,5,41,154105,23,18,15,62.3
797,6,13,154105,22,17,13,54.5
798,7,6,154105,22,17,13,41.3
799,8,0,154105,24,18,13,39.4
800,9,3,154105,25,19,15,94.4
801,10,1,154105,26,21,17,101.6
802,11,1,154105,27,22,18,124.2
803,12,1,154105,27,23,19,179.1
804,1,4,748919,27,23,20,217.9
805,2,5,748919,28,23,20,202.2
806,3,15,748919,27,22,19,155.2
807,4,45,748919,25,21,18,95.8
808,5,47,748919,23,18,16,70.1
809,6,12,748919,22,17,14,61.0
810,7,7,748919,22,17,13,49.0
811,8,6,748919,23,18,14,44.2
812,9,2,748919,23,18,15,96.2
813,10,3,748919,24,20,16,104.4
814,11,6,748919,25,21,18,125.2
815,12,4,748919,26,22,19,177.0
816,1,3,810729,27,23,20,217.9
817,2,2,810729,28,23,20,202.9
818,3,25,810729,27,22,20,156.0
819,4,52,810729,25,21,18,96.7
820,5,66,810729,23,19,16,70.6
821,6,6,810729,22,17,14,61.8
822,7,7,810729,22,17,14,49.8
823,8,0,810729,23,18,14,44.6
824,9,3,810729,23,18,15,95.9
825,10,2,810729,24,20,16,104.5
826,11,1,810729,25,21,18,124.8
827,12,2,810729,26,22,19,176.4
828,1,0,165655,27,23,20,217.5
829,2,4,165655,28,23,20,200.9
830,3,13,165655,27,23,20,153.0
831,4,28,165655,25,21,18,93.5
832,5,39,165655,23,18,16,69.0
833,6,6,165655,22,17,14,59.8
834,7,3,165655,22,17,13,47.8
835,8,2,165655,23,18,14,43.5
836,9,3,165655,23,18,15,96.2
837,10,0,165655,24,20,17,104.2
838,11,1,165655,25,21,18,125.5
839,12,0,165655,27,22,19,177.9
840,1,238,11451999,28,23,20,216.8
841,2,291,11451999,28,24,21,197.1
842,3,1384,11451999,27,23,20,148.2
843,4,4333,11451999,26,21,18,88.1
844,5,4057,11451999,23,19,16,66.6
845,6,590,11451999,22,17,14,57.5
846,7,320,11451999,22,17,13,45.2
847,8,129,11451999,23,18,14,41.8
848,9,102,11451999,24,19,15,95.8
849,10,177,11451999,25,20,17,103.4
850,11,133,11451999,26,21,18,125.5
851,12,193,11451999,27,23,20,179.1
852,1,0,307429,27,23,19,219.4
853,2,3,307429,28,23,19,202.5
854,3,19,307429,27,22,19,155.6
855,4,131,307429,25,21,17,95.3
856,5,238,307429,23,18,15,69.0
857,6,38,307429,22,17,13,58.0
858,7,14,307429,22,16,12,47.2
859,8,2,307429,23,17,13,44.3
860,9,0,307429,24,18,14,100.2
861,10,1,307429,25,20,16,105.8
862,11,1,307429,26,21,17,128.0
863,12,1,307429,27,22,18,181.0
864,1,1,273542,28,23,20,216.6
865,2,7,273542,28,23,20,197.9
866,3,6,273542,27,22,19,148.8
867,4,26,273542,25,21,18,89.0
868,5,23,273542,23,18,15,67.7
869,6,6,273542,22,17,14,59.6
870,7,6,273542,22,17,13,46.8
871,8,1,273542,23,18,14,42.1
872,9,0,273542,24,18,15,93.6
873,10,2,273542,25,20,16,103.1
874,11,0,273542,26,21,18,124.2
875,12,0,273542,27,22,19,177.4
876,1,0,50415,19,22,27,211.9
877,2,0,50415,19,22,27,190.1
878,3,0,50415,18,22,26,139.1
879,4,3,50415,17,20,25,81.0
880,5,7,50415,14,18,22,64.5
881,6,4,50415,13,16,21,58.2
882,7,0,50415,12,16,21,44.9
883,8,0,50415,13,17,23,39.7
884,9,0,50415,14,18,23,88.0
885,10,0,50415,15,19,24,99.6
886,11,0,50415,17,20,25,120.8
887,12,0,50415,18,21,26,174.0
888,1,0,92453,28,22,19,218.8
889,2,4,92453,28,23,19,198.2
890,3,13,92453,27,22,18,150.5
891,4,43,92453,25,21,17,89.1
892,5,20,92453,23,18,14,65.6
893,6,8,92453,22,16,13,53.8
894,7,1,92453,22,16,12,42.8
895,8,1,92453,24,17,12,42.2
896,9,0,92453,24,18,14,103.4
897,10,2,92453,25,20,16,106.3
898,11,0,92453,26,21,17,129.1
899,12,2,92453,27,22,18,184.0
900,1,6,316473,28,23,20,215.1
901,2,6,316473,28,24,20,192.2
902,3,30,316473,27,23,20,141.9
903,4,52,316473,26,21,18,81.4
904,5,39,316473,23,19,15,64.2
905,6,9,316473,22,17,14,56.5
906,7,3,316473,22,17,13,43.3
907,8,2,316473,24,18,14,40.1
908,9,6,316473,25,19,15,93.2
909,10,5,316473,26,21,17,102.3
910,11,3,316473,27,22,18,124.8
911,12,4,316473,27,23,19,179.0
912,1,0,29683,27,22,19,215.6
913,2,1,29683,27,23,19,200.0
914,3,0,29683,26,22,19,156.5
915,4,4,29683,25,20,17,98.8
916,5,2,29683,22,18,15,69.0
917,6,1,29683,22,16,13,57.2
918,7,0,29683,21,16,12,48.0
919,8,0,29683,22,17,13,44.2
920,9,0,29683,23,18,14,95.5
921,10,1,29683,24,19,16,104.2
922,11,0,29683,25,20,17,126.8
923,12,0,29683,26,22,18,176.9
924,1,0,95032,28,23,20,215.0
925,2,3,95032,28,24,20,189.9
926,3,7,95032,27,23,19,140.0
927,4,9,95032,26,21,18,79.2
928,5,10,95032,23,18,15,62.2
929,6,2,95032,22,17,13,52.7
930,7,2,95032,22,17,13,39.9
931,8,1,95032,24,18,13,40.0
932,9,0,95032,25,19,15,100.8
933,10,1,95032,26,21,17,103.9
934,11,0,95032,26,22,18,126.6
935,12,6,95032,27,23,19,182.1
936,1,2,92689,28,23,20,214.2
937,2,1,92689,28,23,20,187.8
938,3,9,92689,27,23,19,137.1
939,4,20,92689,26,21,17,76.6
940,5,12,92689,23,18,15,61.4
941,6,8,92689,22,17,13,52.7
942,7,3,92689,22,17,12,39.5
943,8,1,92689,24,18,13,39.5
944,9,2,92689,25,19,15,100.1
945,10,4,92689,26,21,17,103.3
946,11,0,92689,26,21,18,126.1
947,12,2,92689,27,22,19,181.9
948,1,5,386984,28,23,20,215.4
949,2,8,386984,28,24,20,193.2
950,3,16,386984,27,23,20,143.2
951,4,28,386984,26,21,18,82.8
952,5,15,386984,23,19,15,64.7
953,6,10,386984,22,17,14,56.8
954,7,2,386984,22,17,13,43.7
955,8,1,386984,24,18,14,40.3
956,9,1,386984,24,19,15,93.6
957,10,3,386984,26,20,17,102.4
958,11,2,386984,26,22,18,124.9
959,12,3,386984,27,23,19,178.9
960,1,12,274413,27,23,20,214.8
961,2,4,274413,28,23,20,194.2
962,3,17,274413,27,22,19,144.1
963,4,35,274413,25,21,17,84.8
964,5,23,274413,23,18,15,65.9
965,6,9,274413,22,17,13,58.7
966,7,5,274413,22,17,13,45.5
967,8,1,274413,23,18,13,40.7
968,9,0,274413,24,18,15,91.4
969,10,0,274413,25,20,16,101.7
970,11,3,274413,26,21,17,123.1
971,12,4,274413,27,22,19,176.4
972,1,9,393237,27,23,20,217.6
973,2,12,393237,28,23,20,202.0
974,3,42,393237,27,22,20,154.6
975,4,73,393237,25,21,18,95.3
976,5,56,393237,23,19,16,70.1
977,6,19,393237,22,17,14,61.5
978,7,7,393237,22,17,13,49.3
979,8,3,393237,23,18,14,44.1
980,9,2,393237,23,18,15,95.4
981,10,6,393237,24,20,16,104.1
982,11,8,393237,25,21,18,124.6
983,12,10,393237,26,22,19,176.2
984,1,1,250691,27,23,20,216.6
985,2,3,250691,28,23,20,198.1
986,3,14,250691,27,22,19,148.8
987,4,13,250691,25,21,18,88.9
988,5,9,250691,23,18,15,67.9
989,6,5,250691,22,17,14,60.3
990,7,3,250691,22,17,13,47.3
991,8,1,250691,23,18,14,42.0
992,9,1,250691,24,18,15,93.1
993,10,1,250691,25,20,16,103.0
994,11,1,250691,26,21,17,124.1
995,12,0,250691,27,22,19,176.9
996,1,0,66970,27,23,20,219.4
997,2,0,66970,28,23,20,206.4
998,3,3,66970,27,22,20,158.8
999,4,2,66970,25,21,18,99.8
1000,5,1,66970,23,18,16,73.6
1001,6,1,66970,22,17,14,66.2
1002,7,0,66970,21,17,13,53.5
1003,8,0,66970,22,18,14,46.0
1004,9,0,66970,23,18,15,94.3
1005,10,0,66970,24,19,16,105.2
1006,11,1,66970,25,21,18,123.9
1007,12,0,66970,26,22,19,174.5
1008,1,3,179198,27,22,19,218.8
1009,2,5,179198,28,23,19,201.2
1010,3,5,179198,27,22,18,154.1
1011,4,10,179198,25,20,17,93.9
1012,5,22,179198,23,18,14,68.4
1013,6,5,179198,22,16,13,57.8
1014,7,1,179198,22,16,12,46.6
1015,8,1,179198,23,17,12,43.8
1016,9,0,179198,24,18,14,99.3
1017,10,1,179198,25,19,16,105.2
1018,11,5,179198,26,21,17,127.5
1019,12,5,179198,27,22,18,180.6
1020,1,1,165139,27,23,19,214.8
1021,2,4,165139,28,23,19,187.5
1022,3,36,165139,27,22,19,137.6
1023,4,32,165139,26,21,17,76.7
1024,5,15,165139,23,18,14,60.8
1025,6,8,165139,22,17,13,50.7
1026,7,1,165139,22,16,12,38.1
1027,8,1,165139,24,18,13,39.7
1028,9,2,165139,25,19,15,104.6
1029,10,0,165139,26,20,16,104.6
1030,11,5,165139,26,21,18,127.4
1031,12,1,165139,27,22,19,184.0
1032,1,5,144849,28,23,20,214.9
1033,2,28,144849,28,23,20,188.9
1034,3,63,144849,27,23,19,139.0
1035,4,216,144849,26,21,17,78.1
1036,5,91,144849,23,18,15,61.5
1037,6,19,144849,22,17,13,51.6
1038,7,2,144849,22,17,12,39.0
1039,8,2,144849,24,18,13,39.9
1040,9,0,144849,25,19,15,102.8
1041,10,0,144849,26,21,17,104.3
1042,11,8,144849,27,21,18,127.0
1043,12,16,144849,27,22,19,183.1
1044,1,0,31236,29,23,20,216.6
1045,2,3,31236,29,24,20,197.6
1046,3,4,31236,28,23,19,153.1
1047,4,2,31236,27,22,18,93.1
1048,5,3,31236,24,19,15,65.7
1049,6,2,31236,23,17,13,53.0
1050,7,0,31236,23,17,13,43.9
1051,8,0,31236,24,18,13,42.1
1052,9,0,31236,25,19,15,97.7
1053,10,4,31236,26,21,17,105.1
1054,11,2,31236,27,22,18,129.2
1055,12,5,31236,28,23,19,181.1
1056,1,71,1291771,28,23,19,217.0
1057,2,93,1291771,28,23,20,196.2
1058,3,290,1291771,27,22,19,147.6
1059,4,532,1291771,26,21,17,86.8
1060,5,507,1291771,23,18,15,65.4
1061,6,164,1291771,22,17,13,55.3
1062,7,42,1291771,22,16,13,43.5
1063,8,15,1291771,24,18,13,41.6
1064,9,31,1291771,24,19,15,98.6
1065,10,26,1291771,25,20,16,104.3
1066,11,25,1291771,26,21,18,126.9
1067,12,57,1291771,27,22,19,181.0
1068,1,2,158522,27,23,20,217.8
1069,2,1,158522,28,23,20,201.0
1070,3,2,158522,27,22,19,152.0
1071,4,8,158522,25,21,18,92.6
1072,5,1,158522,23,18,15,69.8
1073,6,1,158522,22,17,14,62.4
1074,7,0,158522,22,17,13,49.3
1075,8,0,158522,23,17,14,43.3
1076,9,1,158522,23,18,15,93.6
1077,10,1,158522,24,19,16,103.8
1078,11,1,158522,25,21,17,123.9
1079,12,1,158522,26,22,19,176.0
1080,1,1,232297,28,23,20,213.6
1081,2,2,232297,28,23,20,191.4
1082,3,4,232297,27,23,19,140.9
1083,4,9,232297,26,21,18,81.4
1084,5,6,232297,23,18,15,64.3
1085,6,1,232297,22,17,13,57.1
1086,7,0,232297,22,17,13,43.9
1087,8,0,232297,23,18,14,39.8
1088,9,1,232297,24,19,15,91.0
1089,10,1,232297,25,20,17,101.1
1090,11,1,232297,26,21,18,123.1
1091,12,0,232297,27,22,19,176.8
1092,1,3,369275,28,23,19,218.9
1093,2,6,369275,28,23,19,200.4
1094,3,18,369275,27,22,19,152.8
1095,4,55,369275,25,21,17,92.0
1096,5,78,369275,23,18,14,67.5
1097,6,18,369275,22,16,13,56.3
1098,7,2,369275,22,16,12,45.3
1099,8,2,369275,23,17,13,43.3
1100,9,3,369275,24,18,14,100.6
1101,10,1,369275,25,20,16,105.8
1102,11,3,369275,26,21,17,128.4
1103,12,5,369275,27,22,18,182.0
1104,1,1,118045,28,23,20,214.5
1105,2,1,118045,28,24,20,191.9
1106,3,5,118045,27,23,20,141.5
1107,4,18,118045,26,21,18,81.4
1108,5,11,118045,23,18,15,64.2
1109,6,4,118045,22,17,14,56.7
1110,7,2,118045,22,17,13,43.5
1111,8,0,118045,24,18,14,39.9
1112,9,0,118045,24,19,15,92.1
1113,10,0,118045,25,20,17,101.6
1114,11,3,118045,26,21,18,124.0
1115,12,0,118045,27,23,19,178.0
1116,1,2,27404,27,23,20,216.9
1117,2,3,27404,28,23,20,204.0
1118,3,3,27404,27,23,20,154.4
1119,4,0,27404,25,21,18,96.1
1120,5,0,27404,23,19,16,73.1
1121,6,0,27404,22,17,14,68.1
1122,7,0,27404,22,17,13,55.7
1123,8,0,27404,23,18,14,45.7
1124,9,0,27404,23,18,15,90.5
1125,10,0,27404,24,20,16,102.5
1126,11,1,27404,25,21,18,120.2
1127,12,0,27404,27,22,19,169.9
1128,1,3,93853,27,22,19,216.0
1129,2,1,93853,28,23,19,191.2
1130,3,3,93853,27,22,19,141.9
1131,4,4,93853,25,20,17,80.8
1132,5,6,93853,23,18,14,62.2
1133,6,0,93853,22,16,13,51.5
1134,7,1,93853,22,16,12,39.4
1135,8,2,93853,23,17,13,40.2
1136,9,0,93853,24,18,14,103.8
1137,10,0,93853,25,20,16,104.9
1138,11,4,93853,26,21,17,127.8
1139,12,8,93853,27,22,18,183.8
1140,1,4,418261,27,22,20,218.4
1141,2,7,418261,27,23,20,203.4
1142,3,13,418261,26,22,19,156.9
1143,4,26,418261,25,21,18,97.7
1144,5,15,418261,22,18,15,70.7
1145,6,5,418261,21,17,14,61.1
1146,7,7,418261,21,16,13,49.4
1147,8,1,418261,22,17,14,44.9
1148,9,0,418261,23,18,15,96.9
1149,10,0,418261,24,19,16,104.9
1150,11,2,418261,25,20,18,125.4
1151,12,3,418261,26,22,19,177.1
1152,1,2,451505,27,22,19,219.0
1153,2,4,451505,28,23,19,202.1
1154,3,6,451505,27,22,19,156.1
1155,4,15,451505,25,21,17,96.3
1156,5,12,451505,23,18,14,68.9
1157,6,6,451505,22,16,13,57.2
1158,7,2,451505,22,16,12,47.0
1159,8,4,451505,23,17,13,44.4
1160,9,1,451505,24,18,14,99.9
1161,10,3,451505,25,20,16,105.9
1162,11,6,451505,26,21,17,128.5
1163,12,1,451505,27,22,18,181.0
1164,1,37,728615,28,23,20,215.8
1165,2,68,728615,28,24,20,194.2
1166,3,223,728615,27,23,20,144.4
1167,4,401,728615,26,21,18,84.1
1168,5,236,728615,23,19,15,65.2
1169,6,74,728615,22,17,14,57.0
1170,7,17,728615,22,17,13,44.2
1171,8,24,728615,24,18,14,40.8
1172,9,20,728615,24,19,15,94.0
1173,10,22,728615,25,20,17,102.6
1174,11,27,728615,26,22,18,124.9
1175,12,30,728615,27,23,19,178.9
1176,1,0,18370,28,23,20,211.1
1177,2,0,18370,28,24,20,184.4
1178,3,1,18370,28,23,19,133.0
1179,4,0,18370,26,21,18,74.4
1180,5,0,18370,23,19,15,60.6
1181,6,1,18370,22,17,13,53.2
1182,7,0,18370,23,17,13,39.8
1183,8,1,18370,24,18,13,38.3
1184,9,0,18370,25,19,15,92.9
1185,10,0,18370,26,21,17,99.9
1186,11,0,18370,27,22,18,122.8
1187,12,0,18370,27,23,19,178.0
1188,1,2,103765,30,25,21,102.0
1189,2,3,103765,30,25,21,103.7
1190,3,4,103765,29,24,20,84.1
1191,4,13,103765,26,21,17,96.8
1192,5,23,103765,22,17,13,96.1
1193,6,13,103765,20,15,11,123.1
1194,7,0,103765,19,14,10,130.5
1195,8,2,103765,21,16,11,112.6
1196,9,2,103765,22,17,13,137.1
1197,10,0,103765,25,20,16,130.5
1198,11,2,103765,27,22,18,103.2
1199,12,5,103765,29,24,19,93.9
1200,1,1,115559,27,22,20,218.9
1201,2,4,115559,27,23,20,205.2
1202,3,3,115559,26,22,19,159.6
1203,4,5,115559,25,21,18,100.6
1204,5,5,115559,22,18,16,72.1
1205,6,1,115559,21,17,14,62.6
1206,7,0,115559,21,16,13,51.1
1207,8,0,115559,22,17,14,45.9
1208,9,5,115559,22,18,15,97.2
1209,10,0,115559,23,19,16,105.2
1210,11,0,115559,24,20,18,125.2
1211,12,0,115559,26,22,19,176.5
1212,1,0,44170,27,22,20,219.1
1213,2,0,44170,27,23,20,206.4
1214,3,1,44170,26,22,20,161.2
1215,4,1,44170,24,21,18,102.4
1216,5,3,44170,22,18,16,73.2
1217,6,0,44170,21,17,14,63.6
1218,7,0,44170,21,17,13,52.2
1219,8,0,44170,22,17,14,46.6
1220,9,0,44170,22,18,15,97.1
1221,10,0,44170,23,19,16,105.6
1222,11,0,44170,24,20,18,124.9
1223,12,0,44170,26,22,19,175.8
1224,1,4,3538,28,23,19,219.0
1225,2,3,3538,29,23,20,197.1
1226,3,6,3538,28,23,19,150.0
1227,4,10,3538,26,21,17,87.8
1228,5,3,3538,24,18,15,64.1
1229,6,0,3538,23,17,13,51.4
1230,7,0,3538,23,17,12,40.9
1231,8,0,3538,24,18,13,41.6
1232,9,0,3538,25,19,15,105.4
1233,10,0,3538,26,21,17,107.1
1234,11,0,3538,27,22,18,130.5
1235,12,0,3538,28,23,19,185.8
1236,1,6,154105,28,23,20,213.6
1237,2,10,154105,28,24,20,188.8
1238,3,18,154105,27,23,19,137.9
1239,4,14,154105,26,21,18,78.1
1240,5,12,154105,23,18,15,62.3
1241,6,6,154105,22,17,13,54.5
1242,7,3,154105,22,17,13,41.3
1243,8,0,154105,24,18,13,39.4
1244,9,5,154105,25,19,15,94.4
1245,10,2,154105,26,21,17,101.6
1246,11,2,154105,27,22,18,124.2
1247,12,3,154105,27,23,19,179.1
1248,1,17,748919,27,23,20,217.9
1249,2,21,748919,28,23,20,202.2
1250,3,60,748919,27,22,19,155.2
1251,4,76,748919,25,21,18,95.8
1252,5,44,748919,23,18,16,70.1
1253,6,19,748919,22,17,14,61.0
1254,7,10,748919,22,17,13,49.0
1255,8,3,748919,23,18,14,44.2
1256,9,8,748919,23,18,15,96.2
1257,10,7,748919,24,20,16,104.4
1258,11,9,748919,25,21,18,125.2
1259,12,6,748919,26,22,19,177.0
1260,1,4,810729,27,23,20,217.9
1261,2,7,810729,28,23,20,202.9
1262,3,19,810729,27,22,20,156.0
1263,4,24,810729,25,21,18,96.7
1264,5,11,810729,23,19,16,70.6
1265,6,5,810729,22,17,14,61.8
1266,7,5,810729,22,17,14,49.8
1267,8,2,810729,23,18,14,44.6
1268,9,1,810729,23,18,15,95.9
1269,10,2,810729,24,20,16,104.5
1270,11,1,810729,25,21,18,124.8
1271,12,6,810729,26,22,19,176.4
1272,1,6,165655,27,23,20,217.5
1273,2,3,165655,28,23,20,200.9
1274,3,18,165655,27,23,20,153.0
1275,4,18,165655,25,21,18,93.5
1276,5,11,165655,23,18,16,69.0
1277,6,4,165655,22,17,14,59.8
1278,7,1,165655,22,17,13,47.8
1279,8,0,165655,23,18,14,43.5
1280,9,0,165655,23,18,15,96.2
1281,10,1,165655,24,20,17,104.2
1282,11,1,165655,25,21,18,125.5
1283,12,1,165655,27,22,19,177.9
1284,1,550,11451999,28,23,20,216.8
1285,2,790,11451999,28,24,21,197.1
1286,3,2294,11451999,27,23,20,148.2
1287,4,3889,11451999,26,21,18,88.1
1288,5,3032,11451999,23,19,16,66.6
1289,6,917,11451999,22,17,14,57.5
1290,7,367,11451999,22,17,13,45.2
1291,8,319,11451999,23,18,14,41.8
1292,9,322,11451999,24,19,15,95.8
1293,10,354,11451999,25,20,17,103.4
1294,11,415,11451999,26,21,18,125.5
1295,12,751,11451999,27,23,20,179.1
1296,1,5,307429,27,23,19,219.4
1297,2,6,307429,28,23,19,202.5
1298,3,48,307429,27,22,19,155.6
1299,4,143,307429,25,21,17,95.3
1300,5,133,307429,23,18,15,69.0
1301,6,54,307429,22,17,13,58.0
1302,7,22,307429,22,16,12,47.2
1303,8,12,307429,23,17,13,44.3
1304,9,23,307429,24,18,14,100.2
1305,10,17,307429,25,20,16,105.8
1306,11,19,307429,26,21,17,128.0
1307,12,17,307429,27,22,18,181.0
1308,1,3,273542,28,23,20,216.6
1309,2,3,273542,28,23,20,197.9
1310,3,13,273542,27,22,19,148.8
1311,4,12,273542,25,21,18,89.0
1312,5,5,273542,23,18,15,67.7
1313,6,4,273542,22,17,14,59.6
1314,7,4,273542,22,17,13,46.8
1315,8,2,273542,23,18,14,42.1
1316,9,1,273542,24,18,15,93.6
1317,10,1,273542,25,20,16,103.1
1318,11,3,273542,26,21,18,124.2
1319,12,0,273542,27,22,19,177.4
1320,1,0,50415,19,22,27,211.9
1321,2,1,50415,19,22,27,190.1
1322,3,2,50415,18,22,26,139.1
1323,4,2,50415,17,20,25,81.0
1324,5,0,50415,14,18,22,64.5
1325,6,0,50415,13,16,21,58.2
1326,7,0,50415,12,16,21,44.9
1327,8,0,50415,13,17,23,39.7
1328,9,0,50415,14,18,23,88.0
1329,10,0,50415,15,19,24,99.6
1330,11,0,50415,17,20,25,120.8
1331,12,0,50415,18,21,26,174.0
